season,division,historical_name,left_placement,right_placement,left_side,left_row,right_side,right_row,left_rank_cell,right_rank_cell,source_url
S3,1,STROKELIMITREACHED,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A12:AB13
S3,2,BIGJA,1st,2nd,L,18,R,19,A18:A18,AB19:AB19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A18:AB19
S3,2,TRICKYDICKY,1st,3rd,R,18,L,20,A18:A18,AB20:AB20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A18:AB20
S3,2,YODA,2nd,4th,L,19,R,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A19:AB21
S3,2,MAXIMUS,3rd,4th,R,20,L,21,A20:A20,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A20:AB21
S3,3,CHICAGOBRY,1st,3rd,R,25,L,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A25:AB27
S3,3,DERBY_DAZ,2nd,3rd,L,26,R,27,A26:A26,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A26:AB27
S3,3,SLAPPY,2nd,4th,R,26,L,28,A26:A26,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A26:AB28
S3,4,SPICY,1st,2nd,R,32,L,33,A32:A32,AB33:AB33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A32:AB33
S3,4,CHIPNPUTT,2nd,4th,R,33,L,35,A33:A33,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A33:AB35
S3,5,L7JAZZ,1st,3rd,L,39,R,41,A39:A39,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A39:AB41
S3,5,EMPZURG,1st,3rd,R,39,L,41,A39:A39,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A39:AB41
S3,5,SHOOTER MCGAVIN,2nd,4th,L,40,R,42,A40:A40,AB42:AB42,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A40:AB42
S3,5,MAMMOTHREPT,2nd,4th,R,40,L,42,A40:A40,AB42:AB42,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A40:AB42
S3,7,FRYLOCK,1st,3rd,L,53,R,55,A53:A53,AB55:AB55,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A53:AB55
S3,7,CATHY G,1st,4th,R,53,L,56,A53:A53,AB56:AB56,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A53:AB56
S3,7,MUSICAL_ATV,3rd,4th,L,55,R,56,A55:A55,AB56:AB56,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A55:AB56
S4,3,DERBY_DAZ,1st,2nd,L,25,R,26,A25:A25,AB26:AB26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=A25:AB26
S4,3,CHIPNPUTT,1st,3rd,R,25,L,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=A25:AB27
S4,3,SPICY,2nd,3rd,L,26,R,27,A26:A26,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=A26:AB27
S4,6,MUSICAL_ATV,2nd,3rd,L,47,R,48,A47:A47,AB48:AB48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=A47:AB48
S4,6,RAY-OF-SUNSHINE,2nd,3rd,R,47,L,48,A47:A47,AB48:AB48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=A47:AB48
s5,1,MULLIGAN,1st,2nd,L,11,R,12,A11:A11,AB12:AB12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A11:AB12
s5,1,SLAPPY,1st,4th,R,11,L,14,A11:A11,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A11:AB14
s5,1,BIGJA,2nd,3rd,L,12,R,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A12:AB13
s5,1,MAXIMUS,3rd,4th,L,13,R,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A13:AB14
s5,2,YODA,1st,2nd,L,18,R,19,A18:A18,AB19:AB19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A18:AB19
s5,2,DERBY_DAZ,1st,3rd,R,18,L,20,A18:A18,AB20:AB20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A18:AB20
s5,2,CHIPNPUTT,2nd,3rd,L,19,R,20,A19:A19,AB20:AB20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A19:AB20
s5,3,EMPZURG,1st,3rd,L,25,R,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A25:AB27
s5,3,SHOOTER_MCGAVIN,1st,4th,R,25,L,28,A25:A25,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A25:AB28
